Order_ID,Order_Date,Customer_ID,Product,Category,Region,Salesperson,Sales_Channel,Quantity,Unit_Price,Discount_Percent,Gross_Sales,Discount_Amount,Sales,Cost,Profit,Payment_Method,Order_Status,Year,Month_Number,Month,Quarter
ORD10017,2023-01-15,CUST1132,Smartphone,Electronics,East,Rahul,Retail Store,4,40112.76,0.1,160451.04,16045.1,144405.94,121300.99,23104.95,Cash,Completed,2023,1,January,Q1
ORD10018,2023-01-16,CUST1057,Desk,Furniture,Central,Vikram,Retail Store,4,16575.42,0.0,66301.68,0.0,66301.68,52378.33,13923.35,UPI,Completed,2023,1,January,Q1
ORD10019,2023-01-17,CUST1029,Office Chair,Furniture,East,Rahul,Online,10,11169.72,0.0,111697.2,0.0,111697.2,84889.87,26807.33,Cash,Completed,2023,1,January,Q1
ORD10020,2023-01-18,CUST1088,Laptop,Electronics,South,Priya,Distributor,4,62779.98,0.15,251119.92,37667.99,213451.93,175030.58,38421.35,Debit Card,Completed,2023,1,January,Q1
ORD10021,2023-01-19,CUST1008,Office Chair,Furniture,West,Priya,Distributor,6,11881.37,0.05,71288.22,3564.41,67723.81,51470.1,16253.71,Net Banking,Completed,2023,1,January,Q1
ORD10022,2023-01-20,CUST1150,Headphones,Accessories,South,Rahul,Online,6,3251.71,0.0,19510.26,0.0,19510.26,14632.7,4877.56,Net Banking,Completed,2023,1,January,Q1
ORD10023,2023-01-21,CUST1015,Monitor,Electronics,Central,Neha,Online,4,16930.46,0.2,67721.84,13544.37,54177.47,42258.43,11919.04,UPI,Completed,2023,1,January,Q1
ORD10024,2023-01-22,CUST1118,Office Chair,Furniture,Central,Neha,Online,2,11054.26,0.15,22108.52,3316.28,18792.24,14282.1,4510.14,Credit Card,Completed,2023,1,January,Q1
ORD10025,2023-01-22,CUST1002,Tablet,Electronics,North,Vikram,Retail Store,3,28413.91,0.15,85241.73,12786.26,72455.47,57964.38,14491.09,Credit Card,Completed,2023,1,January,Q1
ORD10026,2023-01-23,CUST1084,Laptop,Electronics,West,Neha,Retail Store,4,67801.73,0.2,271206.92,54241.38,216965.54,177911.74,39053.8,Credit Card,Completed,2023,1,January,Q1
ORD10027,2023-01-24,CUST1158,Smartphone,Electronics,South,Neha,Online,4,41844.4,0.05,167377.6,8368.88,159008.72,133567.32,25441.4,UPI,Completed,2023,1,January,Q1
ORD10028,2023-01-25,CUST1015,Monitor,Electronics,South,Amit,Online,1,17056.35,0.05,17056.35,852.82,16203.53,12638.75,3564.78,Debit Card,Completed,2023,1,January,Q1
ORD10029,2023-01-26,CUST1106,Headphones,Accessories,South,Neha,Distributor,6,3246.51,0.05,19479.06,973.95,18505.11,13878.83,4626.28,Cash,Completed,2023,1,January,Q1
ORD10030,2023-01-27,CUST1052,Headphones,Accessories,South,Sneha,Online,5,3389.09,0.0,16945.45,0.0,0.0,12709.09,0.0,UPI,Cancelled,2023,1,January,Q1
ORD10031,2023-01-28,CUST1015,Mouse,Accessories,East,Sneha,Distributor,2,1192.69,0.0,2385.38,0.0,-2385.38,1669.77,-715.61,UPI,Returned,2023,1,January,Q1
ORD10032,2023-01-29,CUST1080,Tablet,Electronics,North,Rahul,Distributor,8,27126.91,0.1,217015.28,21701.53,195313.75,156251.0,39062.75,Cash,Completed,2023,1,January,Q1
ORD10033,2023-01-30,CUST1028,Keyboard,Accessories,South,Amit,Distributor,7,2353.03,0.1,16471.21,1647.12,14824.09,10673.34,4150.75,Credit Card,Completed,2023,1,January,Q1
ORD10034,2023-01-31,CUST1149,Printer,Office Equipment,South,Arjun,Retail Store,6,15587.11,0.05,93522.66,4676.13,88846.53,73742.62,15103.91,Credit Card,Completed,2023,1,January,Q1
ORD10035,2023-02-01,CUST1029,Office Chair,Furniture,North,Amit,Online,1,11602.85,0.1,11602.85,1160.29,10442.56,7936.35,2506.21,UPI,Completed,2023,2,February,Q1
ORD10036,2023-02-01,CUST1097,Printer,Office Equipment,South,Priya,Online,10,16130.51,0.1,161305.1,16130.51,145174.59,120494.91,24679.68,Debit Card,Completed,2023,2,February,Q1
ORD10037,2023-02-02,CUST1146,Mouse,Accessories,West,Neha,Retail Store,4,1192.24,0.1,4768.96,476.9,4292.06,3004.44,1287.62,Cash,Completed,2023,2,February,Q1
ORD10038,2023-02-03,CUST1147,Headphones,Accessories,West,Pooja,Distributor,3,3522.09,0.05,10566.27,528.31,10037.96,7528.47,2509.49,Credit Card,Completed,2023,2,February,Q1
ORD10039,2023-02-04,CUST1141,Tablet,Electronics,East,Arjun,Retail Store,8,28305.1,0.1,226440.8,22644.08,203796.72,163037.38,40759.34,Net Banking,Completed,2023,2,February,Q1
ORD10040,2023-02-05,CUST1004,Printer,Office Equipment,West,Pooja,Online,9,16075.81,0.1,144682.29,14468.23,130214.06,108077.67,22136.39,UPI,Completed,2023,2,February,Q1
ORD10041,2023-02-06,CUST1112,Headphones,Accessories,Central,Sneha,Retail Store,9,3700.01,0.05,33300.09,1665.0,31635.09,23726.32,7908.77,Credit Card,Completed,2023,2,February,Q1
ORD10042,2023-02-07,CUST1112,Office Chair,Furniture,West,Sneha,Online,1,11713.46,0.15,11713.46,1757.02,9956.44,7566.89,2389.55,UPI,Completed,2023,2,February,Q1
ORD10043,2023-02-08,CUST1072,Monitor,Electronics,Central,Neha,Distributor,5,19175.07,0.2,95875.35,19175.07,76700.28,59826.22,16874.06,UPI,Completed,2023,2,February,Q1
ORD10044,2023-02-09,CUST1016,Keyboard,Accessories,West,Vikram,Retail Store,1,2608.52,0.05,2608.52,130.43,2478.09,1784.22,693.87,Credit Card,Completed,2023,2,February,Q1
ORD10045,2023-02-10,CUST1042,Printer,Office Equipment,Central,Neha,Distributor,3,14602.35,0.1,43807.05,4380.71,39426.34,32723.86,6702.48,Net Banking,Completed,2023,2,February,Q1
ORD10046,2023-02-11,CUST1149,Keyboard,Accessories,South,Neha,Retail Store,5,2411.21,0.0,12056.05,0.0,12056.05,8680.36,3375.69,UPI,Completed,2023,2,February,Q1
ORD10047,2023-02-12,CUST1122,Desk,Furniture,Central,Arjun,Online,6,18232.45,0.2,109394.7,21878.94,87515.76,69137.45,18378.31,Debit Card,Completed,2023,2,February,Q1
ORD10048,2023-02-12,CUST1076,Keyboard,Accessories,West,Rahul,Retail Store,6,2602.29,0.15,15613.74,2342.06,13271.68,9555.61,3716.07,Debit Card,Completed,2023,2,February,Q1
ORD10049,2023-02-13,CUST1048,Keyboard,Accessories,North,Rahul,Online,4,2488.28,0.0,9953.12,0.0,9953.12,7166.25,2786.87,UPI,Completed,2023,2,February,Q1
ORD10050,2023-02-14,CUST1007,Keyboard,Accessories,North,Amit,Online,10,2327.01,0.1,23270.1,2327.01,20943.09,15079.02,5864.07,Net Banking,Completed,2023,2,February,Q1
ORD10051,2023-02-15,CUST1022,Laptop,Electronics,Central,Neha,Distributor,2,69261.03,0.05,138522.06,6926.1,131595.96,107908.69,23687.27,Debit Card,Completed,2023,2,February,Q1
ORD10052,2023-02-16,CUST1170,Monitor,Electronics,South,Vikram,Distributor,6,18837.45,0.05,113024.7,5651.24,107373.46,83751.3,23622.16,Net Banking,Completed,2023,2,February,Q1
ORD10053,2023-02-17,CUST1154,Desk,Furniture,West,Amit,Retail Store,7,19223.73,0.05,134566.11,6728.31,127837.8,100991.86,26845.94,Cash,Completed,2023,2,February,Q1
ORD10054,2023-02-18,CUST1162,Headphones,Accessories,Central,Priya,Distributor,8,3585.15,0.1,28681.2,2868.12,25813.08,19359.81,6453.27,UPI,Completed,2023,2,February,Q1
ORD10055,2023-02-19,CUST1120,Desk,Furniture,North,Priya,Distributor,4,18991.02,0.05,75964.08,3798.2,72165.88,57011.05,15154.83,Cash,Completed,2023,2,February,Q1
ORD10056,2023-02-20,CUST1047,Mouse,Accessories,South,Pooja,Retail Store,6,1157.17,0.15,6943.02,1041.45,5901.57,4131.1,1770.47,Net Banking,Completed,2023,2,February,Q1
ORD10057,2023-02-21,CUST1008,Mouse,Accessories,South,Neha,Distributor,2,1151.07,0.2,2302.14,460.43,1841.71,1289.2,552.51,Debit Card,Completed,2023,2,February,Q1
ORD10058,2023-02-22,CUST1124,Headphones,Accessories,East,Sneha,Distributor,6,3524.0,0.05,21144.0,1057.2,20086.8,15065.1,5021.7,Credit Card,Completed,2023,2,February,Q1
ORD10059,2023-02-22,CUST1156,Printer,Office Equipment,South,Neha,Distributor,6,16162.74,0.0,96976.44,0.0,96976.44,80490.45,16485.99,Cash,Completed,2023,2,February,Q1
ORD10060,2023-02-23,CUST1175,Printer,Office Equipment,East,Neha,Distributor,2,15349.97,0.0,30699.94,0.0,30699.94,25480.95,5218.99,UPI,Completed,2023,2,February,Q1
ORD10061,2023-02-24,CUST1034,Smartphone,Electronics,North,Arjun,Online,1,41139.81,0.1,41139.81,4113.98,37025.83,31101.7,5924.13,Credit Card,Completed,2023,2,February,Q1
ORD10062,2023-02-25,CUST1044,Keyboard,Accessories,South,Priya,Retail Store,3,2503.73,0.0,7511.19,0.0,7511.19,5408.06,2103.13,Cash,Completed,2023,2,February,Q1
ORD10063,2023-02-26,CUST1064,Headphones,Accessories,West,Arjun,Retail Store,7,3636.98,0.05,25458.86,1272.94,24185.92,18139.44,6046.48,Credit Card,Completed,2023,2,February,Q1
ORD10064,2023-02-27,CUST1160,Desk,Furniture,East,Arjun,Online,4,17440.26,0.05,69761.04,3488.05,66272.99,52355.66,13917.33,Cash,Completed,2023,2,February,Q1
ORD10065,2023-02-28,CUST1152,Monitor,Electronics,North,Sneha,Online,10,18981.77,0.2,189817.7,37963.54,151854.16,118446.24,33407.92,Net Banking,Completed,2023,2,February,Q1
ORD10066,2023-03-01,CUST1025,Office Chair,Furniture,South,Vikram,Retail Store,6,11463.56,0.0,68781.36,0.0,68781.36,52273.83,16507.53,UPI,Completed,2023,3,March,Q1
ORD10067,2023-03-02,CUST1091,Smartphone,Electronics,North,Rahul,Retail Store,10,40742.44,0.2,407424.4,81484.88,325939.52,273789.2,52150.32,Credit Card,Completed,2023,3,March,Q1
ORD10068,2023-03-03,CUST1178,Office Chair,Furniture,West,Amit,Online,6,11515.23,0.1,69091.38,6909.14,62182.24,47258.5,14923.74,UPI,Completed,2023,3,March,Q1
ORD10069,2023-03-04,CUST1084,Laptop,Electronics,North,Arjun,Distributor,1,65483.38,0.0,65483.38,0.0,65483.38,53696.37,11787.01,Credit Card,Completed,2023,3,March,Q1
ORD10070,2023-03-05,CUST1125,Printer,Office Equipment,North,Amit,Distributor,10,14660.68,0.15,146606.8,21991.02,124615.78,103431.1,21184.68,Net Banking,Completed,2023,3,March,Q1
ORD10071,2023-03-05,CUST1055,Desk,Furniture,North,Rahul,Retail Store,2,18812.04,0.05,37624.08,1881.2,35742.88,28236.88,7506.0,Net Banking,Completed,2023,3,March,Q1
ORD10072,2023-03-06,CUST1167,Office Chair,Furniture,East,Vikram,Retail Store,5,11871.3,0.2,59356.5,11871.3,47485.2,36088.75,11396.45,Cash,Completed,2023,3,March,Q1
ORD10073,2023-03-07,CUST1069,Headphones,Accessories,West,Pooja,Online,5,3671.8,0.0,18359.0,0.0,18359.0,13769.25,4589.75,UPI,Completed,2023,3,March,Q1
ORD10074,2023-03-08,CUST1085,Monitor,Electronics,West,Vikram,Retail Store,4,17899.63,0.0,71598.52,0.0,71598.52,55846.85,15751.67,Debit Card,Completed,2023,3,March,Q1
ORD10075,2023-03-09,CUST1013,Keyboard,Accessories,Central,Priya,Retail Store,8,2493.32,0.1,19946.56,1994.66,17951.9,12925.37,5026.53,Net Banking,Completed,2023,3,March,Q1
ORD10076,2023-03-10,CUST1033,Laptop,Electronics,West,Arjun,Distributor,2,62118.64,0.05,124237.28,6211.86,118025.42,96780.84,21244.58,UPI,Completed,2023,3,March,Q1
ORD10077,2023-03-11,CUST1006,Tablet,Electronics,West,Rahul,Retail Store,5,26504.12,0.2,132520.6,26504.12,106016.48,84813.18,21203.3,Cash,Completed,2023,3,March,Q1
ORD10078,2023-03-12,CUST1153,Desk,Furniture,North,Rahul,Distributor,6,19096.15,0.2,114576.9,22915.38,91661.52,72412.6,19248.92,Debit Card,Completed,2023,3,March,Q1
ORD10079,2023-03-13,CUST1131,Laptop,Electronics,East,Pooja,Retail Store,8,65193.08,0.0,521544.64,0.0,521544.64,427666.6,93878.04,Credit Card,Completed,2023,3,March,Q1
ORD10080,2023-03-14,CUST1058,Monitor,Electronics,Central,Rahul,Online,4,17605.19,0.05,70420.76,3521.04,66899.72,52181.78,14717.94,UPI,Completed,2023,3,March,Q1
ORD10081,2023-03-15,CUST1125,Headphones,Accessories,North,Pooja,Online,5,3357.57,0.05,16787.85,839.39,15948.46,11961.34,3987.12,UPI,Completed,2023,3,March,Q1
ORD10082,2023-03-15,CUST1134,Smartphone,Electronics,Central,Neha,Distributor,7,37854.59,0.15,264982.13,39747.32,225234.81,189197.24,36037.57,Cash,Completed,2023,3,March,Q1
ORD10083,2023-03-16,CUST1113,Laptop,Electronics,West,Arjun,Online,5,62169.14,0.2,310845.7,62169.14,248676.56,203914.78,44761.78,Credit Card,Completed,2023,3,March,Q1
ORD10084,2023-03-17,CUST1081,Mouse,Accessories,North,Rahul,Retail Store,4,1250.81,0.1,5003.24,500.32,4502.92,3152.04,1350.88,Cash,Completed,2023,3,March,Q1
ORD10085,2023-03-18,CUST1036,Tablet,Electronics,East,Sneha,Distributor,5,26502.44,0.1,132512.2,13251.22,119260.98,95408.78,23852.2,Debit Card,Completed,2023,3,March,Q1
ORD10086,2023-03-19,CUST1129,Office Chair,Furniture,West,Sneha,Online,6,12851.74,0.05,77110.44,3855.52,73254.92,55673.74,17581.18,Cash,Completed,2023,3,March,Q1
ORD10087,2023-03-20,CUST1005,Mouse,Accessories,South,Vikram,Distributor,5,1252.63,0.05,6263.15,313.16,5949.99,4164.99,1785.0,UPI,Completed,2023,3,March,Q1
ORD10088,2023-03-21,CUST1041,Smartphone,Electronics,West,Neha,Distributor,2,40414.05,0.1,80828.1,8082.81,72745.29,61106.04,11639.25,Cash,Completed,2023,3,March,Q1
ORD10089,2023-03-22,CUST1029,Keyboard,Accessories,North,Rahul,Retail Store,4,2500.48,0.2,10001.92,2000.38,8001.54,5761.11,2240.43,Net Banking,Completed,2023,3,March,Q1
ORD10090,2023-03-23,CUST1040,Headphones,Accessories,North,Neha,Distributor,2,3520.7,0.05,7041.4,352.07,6689.33,5017.0,1672.33,Cash,Completed,2023,3,March,Q1
ORD10091,2023-03-24,CUST1165,Keyboard,Accessories,Central,Amit,Online,1,2434.34,0.05,2434.34,121.72,2312.62,1665.09,647.53,Debit Card,Completed,2023,3,March,Q1
ORD10092,2023-03-25,CUST1032,Desk,Furniture,West,Amit,Online,1,18727.23,0.1,18727.23,1872.72,16854.51,13315.06,3539.45,Debit Card,Completed,2023,3,March,Q1
ORD10093,2023-03-26,CUST1106,Smartphone,Electronics,South,Vikram,Retail Store,9,42969.79,0.15,386728.11,58009.22,328718.89,276123.87,52595.02,Cash,Completed,2023,3,March,Q1
ORD10094,2023-03-26,CUST1096,Monitor,Electronics,North,Rahul,Distributor,5,18733.01,0.2,93665.05,18733.01,74932.04,58446.99,16485.05,Net Banking,Completed,2023,3,March,Q1
ORD10095,2023-03-27,CUST1144,Office Chair,Furniture,Central,Pooja,Distributor,5,11257.94,0.15,56289.7,8443.46,47846.24,36363.14,11483.1,Debit Card,Completed,2023,3,March,Q1
ORD10096,2023-03-28,CUST1143,Headphones,Accessories,North,Priya,Online,5,3581.08,0.1,17905.4,1790.54,16114.86,12086.14,4028.72,Debit Card,Completed,2023,3,March,Q1
ORD10097,2023-03-29,CUST1049,Desk,Furniture,South,Neha,Online,2,17210.66,0.0,34421.32,0.0,34421.32,27192.84,7228.48,Cash,Completed,2023,3,March,Q1
ORD10098,2023-03-30,CUST1174,Smartphone,Electronics,West,Rahul,Online,8,40087.55,0.15,320700.4,48105.06,272595.34,228980.09,43615.25,Credit Card,Completed,2023,3,March,Q1
ORD10099,2023-03-31,CUST1178,Tablet,Electronics,West,Sneha,Retail Store,5,30065.66,0.0,150328.3,0.0,150328.3,120262.64,30065.66,UPI,Completed,2023,3,March,Q1
ORD10100,2023-04-01,CUST1084,Office Chair,Furniture,Central,Rahul,Online,6,12198.7,0.2,73192.2,14638.44,58553.76,44500.86,14052.9,Credit Card,Completed,2023,4,April,Q2
ORD10101,2023-04-02,CUST1089,Desk,Furniture,East,Sneha,Online,6,17279.74,0.0,103678.44,0.0,103678.44,81905.97,21772.47,Credit Card,Completed,2023,4,April,Q2
ORD10102,2023-04-03,CUST1093,Headphones,Accessories,West,Vikram,Retail Store,1,3438.38,0.2,3438.38,687.68,2750.7,2063.02,687.68,UPI,Completed,2023,4,April,Q2
ORD10103,2023-04-04,CUST1131,Monitor,Electronics,East,Rahul,Online,8,17816.28,0.15,142530.24,21379.54,121150.7,94497.55,26653.15,Credit Card,Completed,2023,4,April,Q2
ORD10104,2023-04-05,CUST1070,Laptop,Electronics,South,Vikram,Retail Store,10,60026.5,0.2,600265.0,120053.0,-480212.0,393773.84,-86438.16,Net Banking,Returned,2023,4,April,Q2
ORD10105,2023-04-05,CUST1051,Smartphone,Electronics,North,Priya,Distributor,4,43104.29,0.0,172417.16,0.0,172417.16,144830.41,27586.75,Debit Card,Completed,2023,4,April,Q2
ORD10106,2023-04-06,CUST1048,Desk,Furniture,Central,Amit,Online,9,18242.32,0.1,164180.88,16418.09,-147762.79,116732.6,-31030.19,UPI,Returned,2023,4,April,Q2
ORD10107,2023-04-07,CUST1138,Printer,Office Equipment,North,Vikram,Distributor,1,15685.34,0.15,15685.34,2352.8,13332.54,11066.01,2266.53,Cash,Completed,2023,4,April,Q2
ORD10108,2023-04-08,CUST1112,Headphones,Accessories,East,Rahul,Distributor,2,3707.94,0.1,7415.88,741.59,6674.29,5005.72,1668.57,Net Banking,Completed,2023,4,April,Q2
ORD10109,2023-04-09,CUST1110,Keyboard,Accessories,South,Arjun,Distributor,1,2656.02,0.1,2656.02,265.6,2390.42,1721.1,669.32,Credit Card,Completed,2023,4,April,Q2
ORD10110,2023-04-10,CUST1137,Monitor,Electronics,West,Sneha,Distributor,2,17444.89,0.05,34889.78,1744.49,33145.29,25853.33,7291.96,Credit Card,Completed,2023,4,April,Q2
ORD10111,2023-04-11,CUST1075,Desk,Furniture,East,Pooja,Distributor,10,18705.04,0.1,187050.4,18705.04,168345.36,132992.83,35352.53,Cash,Completed,2023,4,April,Q2
ORD10112,2023-04-12,CUST1031,Office Chair,Furniture,Central,Neha,Distributor,10,12749.17,0.1,127491.7,12749.17,114742.53,87204.32,27538.21,Net Banking,Completed,2023,4,April,Q2
ORD10113,2023-04-13,CUST1092,Mouse,Accessories,East,Rahul,Online,4,1155.48,0.0,4621.92,0.0,4621.92,3235.34,1386.58,Cash,Completed,2023,4,April,Q2
ORD10114,2023-04-14,CUST1086,Keyboard,Accessories,South,Neha,Online,10,2497.55,0.0,24975.5,0.0,24975.5,17982.36,6993.14,Debit Card,Completed,2023,4,April,Q2
ORD10115,2023-04-15,CUST1008,Keyboard,Accessories,North,Amit,Retail Store,6,2399.54,0.0,14397.24,0.0,14397.24,10366.01,4031.23,Debit Card,Completed,2023,4,April,Q2
ORD10116,2023-04-16,CUST1138,Laptop,Electronics,South,Priya,Distributor,10,60215.1,0.05,602151.0,30107.55,0.0,469075.63,0.0,UPI,Cancelled,2023,4,April,Q2
ORD10117,2023-04-16,CUST1130,Office Chair,Furniture,Central,Arjun,Online,5,12616.26,0.05,63081.3,3154.07,59927.23,45544.69,14382.54,Debit Card,Completed,2023,4,April,Q2
ORD10118,2023-04-17,CUST1101,Office Chair,Furniture,North,Amit,Distributor,10,12410.99,0.05,124109.9,6205.5,117904.4,89607.34,28297.06,Net Banking,Completed,2023,4,April,Q2
ORD10119,2023-04-18,CUST1122,Keyboard,Accessories,North,Amit,Retail Store,6,2606.04,0.0,15636.24,0.0,15636.24,11258.09,4378.15,Net Banking,Completed,2023,4,April,Q2
ORD10120,2023-04-19,CUST1125,Printer,Office Equipment,West,Rahul,Online,1,15329.66,0.05,15329.66,766.48,14563.18,12087.44,2475.74,Cash,Completed,2023,4,April,Q2
ORD10121,2023-04-20,CUST1027,Keyboard,Accessories,East,Vikram,Distributor,5,2498.99,0.05,12494.95,624.75,11870.2,8546.54,3323.66,Cash,Completed,2023,4,April,Q2
ORD10122,2023-04-21,CUST1152,Laptop,Electronics,Central,Pooja,Retail Store,10,65984.07,0.1,659840.7,65984.07,593856.63,486962.44,106894.19,Credit Card,Completed,2023,4,April,Q2
ORD10123,2023-04-22,CUST1146,Tablet,Electronics,West,Arjun,Distributor,2,27486.33,0.05,54972.66,2748.63,52224.03,41779.22,10444.81,UPI,Completed,2023,4,April,Q2
ORD10124,2023-04-23,CUST1180,Office Chair,Furniture,West,Vikram,Retail Store,1,12074.22,0.0,12074.22,0.0,12074.22,9176.41,2897.81,Credit Card,Completed,2023,4,April,Q2
ORD10125,2023-04-24,CUST1028,Mouse,Accessories,South,Priya,Online,7,1119.72,0.05,7838.04,391.9,7446.14,5212.3,2233.84,UPI,Completed,2023,4,April,Q2
ORD10126,2023-04-25,CUST1146,Printer,Office Equipment,East,Vikram,Distributor,2,15490.89,0.05,30981.78,1549.09,29432.69,24429.13,5003.56,Credit Card,Completed,2023,4,April,Q2
ORD10127,2023-04-26,CUST1151,Smartphone,Electronics,East,Priya,Online,3,38578.08,0.0,115734.24,0.0,115734.24,97216.76,18517.48,Net Banking,Completed,2023,4,April,Q2
ORD10128,2023-04-26,CUST1024,Smartphone,Electronics,North,Sneha,Online,4,39925.51,0.05,159702.04,7985.1,151716.94,127442.23,24274.71,Credit Card,Completed,2023,4,April,Q2
ORD10129,2023-04-27,CUST1155,Printer,Office Equipment,South,Sneha,Retail Store,10,13908.31,0.0,139083.1,0.0,139083.1,115438.97,23644.13,Debit Card,Completed,2023,4,April,Q2
ORD10130,2023-04-28,CUST1001,Monitor,Electronics,West,Rahul,Distributor,4,16997.11,0.1,67988.44,6798.84,61189.6,47727.89,13461.71,Debit Card,Completed,2023,4,April,Q2
ORD10131,2023-04-29,CUST1047,Monitor,Electronics,South,Vikram,Online,8,19052.19,0.1,152417.52,15241.75,137175.77,106997.1,30178.67,Debit Card,Completed,2023,4,April,Q2
ORD10132,2023-04-30,CUST1112,Office Chair,Furniture,South,Arjun,Retail Store,5,12798.9,0.05,63994.5,3199.73,60794.77,46204.03,14590.74,Debit Card,Completed,2023,4,April,Q2
ORD10133,2023-05-01,CUST1162,Office Chair,Furniture,South,Priya,Online,5,12552.61,0.1,62763.05,6276.3,56486.75,42929.93,13556.82,Debit Card,Completed,2023,5,May,Q2
ORD10134,2023-05-02,CUST1131,Desk,Furniture,South,Arjun,Online,7,18217.22,0.15,127520.54,19128.08,108392.46,85630.04,22762.42,Net Banking,Completed,2023,5,May,Q2
ORD10135,2023-05-03,CUST1050,Printer,Office Equipment,West,Vikram,Retail Store,4,15202.86,0.0,60811.44,0.0,60811.44,50473.5,10337.94,,Completed,2023,5,May,Q2
ORD10136,2023-05-04,CUST1058,Laptop,Electronics,North,Amit,Retail Store,10,67720.58,0.0,677205.8,0.0,677205.8,555308.76,121897.04,Credit Card,Completed,2023,5,May,Q2
ORD10137,2023-05-05,CUST1006,Monitor,Electronics,Central,Pooja,Distributor,7,18986.74,0.1,132907.18,13290.72,119616.46,93300.84,26315.62,Debit Card,Completed,2023,5,May,Q2
ORD10138,2023-05-06,CUST1044,Keyboard,Accessories,South,Priya,Online,7,2414.58,0.1,16902.06,1690.21,15211.85,10952.53,4259.32,Debit Card,Completed,2023,5,May,Q2
ORD10139,2023-05-07,CUST1174,Laptop,Electronics,South,Vikram,Retail Store,1,67777.52,0.15,67777.52,10166.63,57610.89,47240.93,10369.96,Net Banking,Completed,2023,5,May,Q2
ORD10140,2023-05-07,CUST1165,Tablet,Electronics,South,Vikram,Online,2,28375.8,0.0,56751.6,0.0,56751.6,45401.28,11350.32,Credit Card,Completed,2023,5,May,Q2
ORD10141,2023-05-08,CUST1131,Printer,Office Equipment,South,Arjun,Distributor,1,13823.0,0.0,13823.0,0.0,13823.0,11473.09,2349.91,Credit Card,Completed,2023,5,May,Q2
ORD10142,2023-05-09,CUST1045,Office Chair,Furniture,East,Pooja,Online,10,12732.71,0.15,127327.1,19099.06,108228.04,82253.31,25974.73,Cash,Completed,2023,5,May,Q2
