Date,City,Temperature,Min_Temperature,Max_Temperature,Rainfall,Humidity,Wind_Speed,Pressure,Weather_Condition
2024-04-25,Pune,29.42,22.43,34.11,0.3,66.37,14.77,1000.6,Clear
2022-04-04,Mumbai,31.82,24.46,35.89,1.44,56.03,7.11,1015.56,Clear
2022-03-28,Chennai,34.15,29.36,40.97,2.1,56.21,12.28,1008.25,Clear
2023-11-05,Bengaluru,13.92,8.51,19.71,6.85,85.91,5.34,1015.37,Cold
2022-03-13,Delhi,26.15,19.0,30.21,1.72,67.58,19.08,1009.72,Clear
2022-10-02,Pune,27.74,20.15,33.97,0.21,57.47,8.72,1016.78,Clear
2023-07-04,Mumbai,36.41,31.03,41.73,23.49,88.52,14.38,1009.05,Rainy
2022-11-04,Hyderabad,22.57,18.27,27.17,0.58,72.66,13.52,1010.92,Clear
2024-10-01,Delhi,22.38,14.08,29.65,1.48,77.61,9.82,1011.01,Clear
2023-04-13,Hyderabad,32.03,26.28,38.85,5.25,65.77,10.78,1011.02,Clear
2024-08-13,Chennai,36.32,28.43,44.0,15.26,68.89,17.2,1013.64,Rainy
2022-08-19,Mumbai,36.33,29.12,43.11,1.46,51.07,14.06,1012.9,Hot
2024-07-07,Hyderabad,39.54,34.39,45.25,2.55,39.38,10.95,1012.82,Hot
2023-04-12,Chennai,35.76,29.93,40.85,0.5,48.95,18.56,1011.39,Hot
2023-08-31,Delhi,28.39,23.91,35.57,9.7,69.99,15.39,1007.7,Clear
2023-11-08,Mumbai,27.94,22.54,34.2,1.91,74.01,9.92,1011.93,Clear
2022-11-24,Delhi,20.44,14.3,26.08,0.43,76.78,9.54,1002.45,Clear
2022-03-23,Delhi,24.79,16.89,31.69,0.3,71.93,8.91,1010.04,Clear
2024-03-12,Pune,22.96,16.65,27.64,1.37,68.59,11.27,1010.76,Clear
2024-12-12,Hyderabad,20.95,15.94,28.42,4.53,81.02,13.69,1019.34,Cloudy
2024-12-10,Chennai,22.66,17.08,28.14,0.69,68.95,10.75,1002.04,Clear
2022-09-21,Mumbai,31.13,24.71,38.59,11.4,62.77,8.63,1015.2,Rainy
2024-02-03,Bengaluru,17.16,10.19,23.74,3.79,79.86,13.4,1011.38,Cold
2024-01-14,Chennai,27.39,21.87,32.68,1.61,63.5,10.15,1012.65,Clear
2022-03-03,Mumbai,28.46,19.97,34.35,0.31,57.15,10.1,1007.92,Clear
2022-07-15,Delhi,30.39,24.23,37.36,28.84,98.0,12.17,1011.24,Rainy
2022-04-12,Pune,32.53,27.99,38.57,2.39,56.94,13.98,1018.76,Clear
2024-09-13,Hyderabad,27.75,21.16,34.87,22.28,88.22,13.38,1014.97,Rainy
2022-04-28,Bengaluru,22.51,14.2,27.38,1.68,65.42,11.48,1008.21,Clear
2022-07-10,Chennai,39.42,31.2,44.93,15.7,64.42,12.25,1009.1,Rainy
2022-11-11,Pune,27.42,20.13,31.63,0.04,60.99,12.41,1002.15,Clear
2024-01-04,Mumbai,20.49,15.85,28.28,0.96,79.91,9.67,1013.95,Clear
2024-05-24,Delhi,33.6,26.53,39.39,3.2,72.38,15.23,1015.73,Clear
2024-01-28,Hyderabad,25.04,20.23,30.19,1.05,70.56,11.94,1006.58,Clear
2024-08-23,Chennai,33.71,27.49,40.84,20.03,91.0,11.69,1013.81,Rainy
2024-03-11,Bengaluru,27.47,22.52,32.65,1.15,62.3,11.88,1015.81,Clear
2022-08-22,Hyderabad,29.52,23.23,35.36,7.41,46.79,12.8,1014.77,Clear
2022-08-06,Mumbai,34.06,26.03,39.9,6.25,56.38,14.41,1008.45,Clear
2022-11-13,Pune,17.56,10.73,23.3,0.16,77.7,15.75,1012.02,Cold
2023-01-20,Pune,20.38,12.16,25.41,1.06,72.74,13.73,1012.82,Clear
2024-03-19,Hyderabad,30.18,23.89,37.02,1.86,48.97,22.97,1017.5,Clear
2023-08-26,Delhi,31.85,26.69,37.11,7.22,52.05,10.82,1005.7,Clear
2023-01-23,Pune,21.07,12.92,28.72,2.83,69.92,13.23,1010.31,Clear
2024-04-24,Chennai,32.67,27.23,37.0,0.4,54.69,11.22,1014.75,Clear
2023-03-23,Bengaluru,24.89,20.1,31.36,0.69,78.77,16.36,1014.33,Clear
2024-11-17,Hyderabad,19.89,12.42,25.45,0.07,74.71,7.88,1009.73,Clear
2022-05-03,Hyderabad,38.36,29.63,46.23,3.24,47.04,13.09,1009.37,Hot
2022-01-24,Mumbai,22.84,14.38,29.37,1.84,90.14,12.38,1004.97,Cloudy
2024-10-09,Delhi,27.09,19.5,34.67,1.61,65.23,12.95,1015.94,Clear
2024-12-22,Hyderabad,24.22,15.95,29.84,2.91,78.98,9.56,1013.16,Clear
2022-12-17,Pune,19.78,13.81,24.59,1.67,70.14,15.23,1019.9,Clear
2024-04-23,Delhi,31.3,23.55,36.83,1.16,58.75,9.2,1018.84,Clear
2022-05-04,Bengaluru,36.39,31.55,43.07,0.49,32.56,17.06,1004.09,Hot
2024-11-16,Bengaluru,24.98,16.34,29.13,0.17,64.34,16.94,1009.99,Clear
2023-11-15,Mumbai,19.44,13.42,23.61,0.21,67.83,8.93,1012.34,Clear
2022-03-04,Pune,24.19,18.59,29.55,3.48,75.01,9.54,1020.09,Clear
2023-08-07,Delhi,34.78,27.08,39.01,34.32,98.0,5.44,1015.19,Rainy
2024-10-19,Pune,22.66,17.98,27.94,1.19,72.19,13.79,1012.39,Clear
2022-12-25,Hyderabad,17.28,10.16,23.22,0.63,68.17,8.97,1004.46,Cold
2022-05-13,Mumbai,36.85,32.49,42.42,8.71,56.82,15.14,1014.13,Hot
2023-06-07,Hyderabad,36.2,30.16,43.96,10.52,67.34,11.79,1017.57,Rainy
2023-03-04,Bengaluru,24.84,18.03,31.53,6.13,80.32,3.22,1010.16,Cloudy
2022-10-20,Bengaluru,23.15,14.24,27.45,0.28,61.12,10.62,1008.07,Clear
2023-01-29,Mumbai,26.19,19.07,34.15,0.3,54.71,5.44,1010.04,Clear
2022-08-19,Chennai,36.51,31.25,41.84,15.22,74.29,11.92,1006.27,Rainy
2024-01-01,Delhi,22.45,15.78,26.74,0.16,65.73,15.12,1006.87,Clear
2022-05-04,Pune,34.0,27.01,41.42,1.15,58.36,17.51,1007.05,Clear
2022-08-17,Bengaluru,27.65,22.86,33.57,5.31,69.05,12.18,1004.75,Clear
2024-11-02,Pune,25.05,18.04,32.75,1.25,55.87,14.57,1005.56,Clear
2024-04-02,Hyderabad,27.26,21.81,34.51,4.1,59.07,6.36,1014.92,Clear
2022-05-13,Chennai,37.85,30.86,42.15,1.86,41.48,19.61,1017.06,Hot
2022-01-11,Delhi,26.6,18.52,32.4,0.37,60.67,4.37,1010.99,Clear
2022-08-28,Bengaluru,32.26,28.11,39.75,15.25,79.42,11.19,1014.95,Rainy
2023-10-29,Hyderabad,27.35,18.58,34.31,2.78,72.04,13.82,1013.96,Clear
2023-08-09,Mumbai,28.57,23.91,35.34,7.7,74.26,2.51,1022.21,Clear
2022-09-05,Mumbai,29.61,25.21,35.03,12.38,85.24,16.63,1017.88,Rainy
2024-04-05,Pune,23.55,17.5,29.57,1.04,72.53,13.45,1010.55,Clear
2024-01-17,Bengaluru,16.26,10.17,20.43,0.36,85.5,10.64,1003.93,Cold
2022-11-12,Pune,20.34,12.62,27.77,3.41,65.73,7.15,1017.49,Clear
2022-09-07,Pune,27.57,19.58,33.4,13.26,78.91,10.75,1015.09,Rainy
2023-01-26,Hyderabad,22.86,15.57,28.18,2.1,75.65,10.1,1009.9,Clear
2023-11-28,Mumbai,24.74,18.47,29.95,0.64,69.4,14.48,1009.07,
2024-01-14,Mumbai,26.97,20.51,31.13,1.26,64.76,7.07,1016.76,Clear
2023-08-30,Pune,31.0,25.85,36.35,10.08,74.66,14.53,1009.45,Rainy
2024-11-20,Delhi,17.05,8.49,22.15,1.04,86.66,17.99,1013.77,Cold
2023-06-05,Chennai,37.35,29.77,41.38,9.85,53.24,12.39,1013.31,Hot
2022-08-22,Mumbai,35.0,29.6,42.43,13.47,71.59,13.27,1016.44,Rainy
2024-09-28,Delhi,24.82,17.39,29.88,17.53,93.13,13.44,1016.24,Rainy
2023-03-12,Mumbai,30.0,25.55,36.41,2.39,59.41,13.77,1008.33,Clear
2023-02-15,Bengaluru,18.28,12.36,22.97,0.92,83.53,10.75,1009.26,Cloudy
2024-08-26,Hyderabad,34.77,25.88,42.53,7.59,61.32,13.14,1003.57,Clear
2024-03-03,Bengaluru,23.3,17.74,27.6,1.57,71.76,11.03,1008.71,Clear
2023-10-23,Bengaluru,21.56,15.97,27.41,0.6,65.65,11.45,1011.16,Clear
2023-07-19,Bengaluru,36.41,31.86,44.37,0.57,46.04,12.05,1009.8,Hot
2022-07-12,Bengaluru,25.95,17.75,30.55,1.2,69.67,15.38,1018.76,Clear
2024-09-09,Mumbai,34.62,27.02,39.96,15.18,60.68,11.4,1008.13,Rainy
2023-10-22,Chennai,28.3,21.87,33.77,2.04,58.1,11.03,1010.51,Clear
2024-12-14,Bengaluru,13.59,4.62,19.24,4.87,82.96,13.36,1013.81,Cold
2022-05-11,Bengaluru,33.19,26.12,40.09,0.86,58.03,15.06,1010.05,Clear
2022-03-08,Hyderabad,28.34,20.9,32.88,2.8,64.02,17.92,1009.54,Clear
2022-03-30,Hyderabad,33.64,26.54,38.73,5.42,66.91,13.84,1015.25,Clear
2024-04-02,Delhi,29.83,21.22,35.8,0.5,68.48,6.78,1013.86,Clear
2022-07-27,Delhi,32.49,23.64,39.61,4.62,46.59,17.39,1000.91,Clear
2023-02-28,Delhi,24.56,17.53,29.67,0.65,47.72,14.98,1016.28,Clear
2023-03-20,Chennai,29.29,23.56,34.56,1.48,74.0,17.21,1012.44,Clear
2022-01-01,Hyderabad,16.17,10.25,20.21,0.11,83.11,14.82,1013.56,Cold
2022-04-23,Delhi,32.27,25.32,38.43,5.33,74.58,8.58,1010.2,Clear
2024-01-31,Chennai,23.48,16.46,28.51,0.61,76.76,17.24,1013.09,Clear
2022-03-22,Mumbai,28.62,23.38,35.6,0.44,70.79,13.61,1010.26,Clear
2024-01-05,Bengaluru,21.65,13.66,27.43,0.05,74.69,16.23,1013.15,Clear
2022-08-10,Bengaluru,32.69,27.85,38.5,7.18,61.8,12.64,1010.77,Clear
2024-12-25,Pune,21.34,17.03,26.54,0.81,78.17,18.01,1005.59,Clear
2024-04-29,Pune,29.17,20.46,34.45,0.71,62.87,16.02,1016.52,Clear
2024-06-09,Chennai,37.43,33.24,43.1,3.03,61.83,2.79,1012.45,Hot
2024-12-17,Pune,17.59,13.52,23.97,2.14,88.55,14.04,1011.85,Cold
2022-09-14,Pune,28.53,23.03,33.96,20.1,98.0,9.65,1000.7,Rainy
2022-06-15,Delhi,28.81,22.73,36.36,28.05,98.0,14.22,1016.05,Rainy
2023-07-28,Pune,32.99,27.72,38.56,5.53,75.04,7.11,1005.62,Clear
2024-08-15,Mumbai,38.01,31.27,42.17,12.31,68.1,12.4,1010.05,Rainy
2023-08-22,Chennai,36.83,30.14,43.35,13.96,63.96,13.14,999.73,Rainy
2023-02-06,Mumbai,23.26,16.94,27.74,1.52,65.13,12.29,1010.94,Clear
2023-01-24,Hyderabad,20.52,12.66,28.07,1.01,74.13,12.07,1004.98,Clear
2023-10-07,Delhi,18.24,9.88,25.75,7.17,92.63,4.05,1005.55,Cloudy
2022-05-24,Chennai,32.54,27.68,38.3,0.68,48.3,11.98,1009.17,Clear
2022-05-06,Delhi,32.84,26.61,39.62,0.19,61.37,16.46,1009.04,Clear
2023-12-05,Hyderabad,18.42,9.78,23.31,1.3,81.0,14.02,1012.69,Cloudy
2023-02-18,Pune,24.02,19.16,29.45,0.67,63.47,17.75,1011.74,Clear
2023-04-14,Mumbai,33.45,27.7,40.58,0.86,57.14,10.61,1009.52,Clear
2023-01-03,Bengaluru,16.41,11.3,23.93,2.02,70.54,11.98,1016.35,Cold
2022-09-06,Bengaluru,23.14,15.09,30.15,5.7,70.31,10.66,1015.57,Clear
2024-12-07,Pune,21.48,15.06,26.02,0.92,70.28,10.99,1011.57,Clear
2022-10-01,Delhi,23.89,19.52,28.64,2.25,80.57,8.83,1006.09,Cloudy
2023-11-21,Delhi,21.37,15.11,28.96,1.0,75.82,11.44,1013.76,Clear
2023-03-29,Delhi,28.15,23.96,35.86,1.14,61.37,4.3,1019.68,Clear
2024-03-16,Mumbai,26.92,22.02,34.53,0.15,58.29,16.56,1007.81,Clear
2022-05-06,Pune,34.1,25.84,41.73,0.37,63.19,14.92,1011.58,Clear
2024-10-31,Mumbai,25.86,20.75,30.93,1.82,57.12,14.31,1005.85,Clear
2022-05-15,Bengaluru,33.18,25.65,38.15,8.98,75.76,9.87,1008.92,Clear
2022-01-08,Bengaluru,17.22,9.03,21.97,1.55,88.98,5.95,1010.88,Cold
2022-07-20,Delhi,39.47,30.49,44.58,15.79,76.86,6.67,1013.99,Rainy
2022-12-01,Mumbai,15.89,8.65,23.64,0.74,67.35,12.1,1002.4,Cold
2024-01-07,Hyderabad,20.44,11.54,25.53,1.12,62.53,11.62,1021.95,Clear
2024-11-25,Hyderabad,23.04,14.77,30.93,1.55,81.25,8.39,1014.14,Cloudy
2022-01-13,Pune,20.81,14.38,26.23,2.85,68.09,12.69,1014.94,Clear
2023-01-05,Hyderabad,25.35,17.34,30.02,2.08,61.3,12.56,1011.6,Clear
2022-11-15,Bengaluru,18.08,12.56,23.05,1.85,75.81,10.53,1013.84,Clear
2023-11-17,Chennai,22.7,16.94,27.17,1.2,78.04,20.67,1018.14,Clear
2023-07-05,Delhi,31.93,26.19,38.05,31.74,98.0,9.86,1013.0,Rainy
2022-12-30,Hyderabad,19.78,14.85,25.41,1.49,75.34,8.58,1000.46,Clear
2023-07-01,Bengaluru,32.65,23.71,40.11,14.98,80.9,17.07,1013.34,Rainy
2023-09-19,Hyderabad,28.2,21.67,35.82,10.36,79.64,8.06,1010.83,Rainy
2024-03-17,Hyderabad,29.4,22.34,36.79,5.29,62.66,9.01,1015.15,Clear
2023-09-15,Hyderabad,30.27,24.57,38.11,8.03,62.91,11.49,1010.09,Clear
2022-12-01,Delhi,19.13,14.33,26.92,1.3,81.74,17.33,1014.52,Cloudy
2024-05-22,Bengaluru,29.2,21.51,34.35,0.63,58.92,13.34,1011.21,Clear
2022-03-14,Delhi,27.78,21.14,32.94,1.63,64.09,10.83,1015.35,Clear
2022-07-17,Chennai,39.54,32.95,43.58,13.22,61.43,8.46,1004.32,Rainy
2022-04-07,Delhi,29.49,24.13,33.75,1.76,50.92,14.11,1004.41,Clear
2024-12-20,Delhi,19.11,14.06,26.03,1.37,83.51,18.4,1013.39,Cloudy
2023-05-04,Hyderabad,30.93,25.35,38.92,3.56,64.23,6.71,1014.73,Clear
2024-11-18,Delhi,18.73,13.4,26.01,0.65,94.23,11.38,1009.36,Cloudy
2022-07-20,Hyderabad,34.01,29.29,38.12,54.6,98.0,23.74,1018.53,Heavy Rain
2024-09-23,Hyderabad,29.59,22.07,36.12,23.41,89.92,10.96,1011.07,Rainy
2023-09-15,Mumbai,28.83,21.9,34.8,10.27,65.04,11.01,1015.13,Rainy
2023-04-12,Pune,31.24,22.61,36.66,1.88,58.24,11.67,1017.48,Clear
2024-09-27,Hyderabad,26.78,19.09,33.64,10.69,85.95,2.54,1016.27,Rainy
2024-06-17,Delhi,37.37,30.16,44.88,2.39,37.65,11.99,1010.03,Hot
2023-04-15,Mumbai,35.79,29.79,41.43,0.63,57.31,18.85,1003.26,Hot
2023-08-31,Pune,28.68,22.79,34.7,19.89,87.46,15.48,1011.38,Rainy
2022-01-01,Chennai,21.02,15.35,25.73,1.49,74.59,16.67,1005.8,Clear
2023-05-20,Bengaluru,38.76,30.64,44.13,0.3,49.91,15.76,1000.8,Hot
2024-02-24,Chennai,28.61,20.48,35.04,1.77,68.32,5.68,1015.26,Clear
2024-12-14,Chennai,26.15,19.59,33.84,3.33,64.52,11.9,1025.07,Clear
2022-11-27,Pune,17.73,12.47,23.06,0.76,76.85,9.26,1020.97,Cold
2024-11-20,Hyderabad,23.0,17.79,27.41,0.05,75.0,15.04,1005.26,Clear
2022-03-30,Mumbai,35.55,31.48,42.2,3.59,48.98,11.34,1012.0,Hot
2024-08-01,Hyderabad,31.67,26.31,38.64,5.12,56.61,14.51,1015.38,Clear
2023-07-24,Bengaluru,33.54,25.17,40.07,11.38,57.18,16.96,1014.43,Rainy
2022-01-09,Chennai,21.99,14.56,26.83,1.54,72.91,9.35,1009.97,Clear
2022-02-01,Bengaluru,25.94,21.56,30.21,2.65,65.82,7.55,1012.85,Clear
2022-06-06,Mumbai,36.2,31.83,42.61,24.54,95.76,15.93,1010.38,Rainy
2023-06-20,Hyderabad,37.98,30.41,43.05,7.21,64.64,9.38,1010.16,Hot
2023-12-28,Delhi,22.36,14.9,26.5,2.24,63.1,6.35,1008.52,Clear
2023-01-14,Delhi,17.24,11.59,22.96,2.74,82.23,12.13,1012.83,Cold
2022-01-19,Delhi,19.04,11.68,23.74,1.1,77.34,12.08,1004.34,Clear
2024-09-19,Delhi,32.0,23.87,37.62,19.6,79.81,4.86,1007.88,Rainy
2024-02-23,Pune,22.87,17.02,29.83,2.37,59.79,10.63,1008.14,Clear
2022-07-18,Mumbai,36.87,31.64,43.78,27.61,85.65,18.68,1013.97,Rainy
2024-08-28,Delhi,35.08,30.16,40.61,4.31,59.72,10.66,1006.16,Hot
2022-12-05,Bengaluru,14.81,7.13,19.91,1.2,80.36,15.62,1016.7,Cold
2024-11-11,Chennai,20.51,16.24,27.43,0.2,72.77,11.63,1007.42,Clear
2024-03-27,Pune,33.6,25.91,40.25,0.9,52.5,16.05,1016.46,Clear
2023-06-19,Mumbai,42.09,35.64,48.2,33.66,79.97,12.36,1009.39,Rainy
2024-02-04,Chennai,24.92,17.66,32.92,4.28,70.49,12.77,1010.6,Clear
2022-04-19,Bengaluru,26.99,22.66,34.14,0.92,69.63,11.21,1020.15,Clear
2023-05-11,Bengaluru,35.43,30.5,40.63,0.3,46.11,13.81,1009.61,Hot
2024-06-02,Delhi,31.55,24.66,37.69,16.81,83.25,9.73,1006.35,Rainy
2022-11-21,Mumbai,20.63,13.52,27.23,3.77,84.3,7.51,1007.41,Cloudy
2024-03-30,Delhi,25.66,18.44,32.67,0.02,51.59,17.55,1008.01,Clear
2022-04-16,Hyderabad,33.19,25.23,38.92,1.5,54.92,18.46,1007.15,Clear
2023-07-22,Hyderabad,30.73,22.11,34.81,9.46,65.88,3.2,1022.43,Clear
2024-02-05,Delhi,17.56,12.63,23.65,0.78,82.88,8.76,1016.24,Cold
2023-01-29,Mumbai,26.19,19.07,34.15,0.3,54.71,5.44,1010.04,Clear
